Datetime,Temperature,RH,Irradiance,Precipitation,site,datetime,temperature_c,rh_percent,twb_stull_c,datetime_local,weather_date,weather_hour,sleep_date,is_nocturnal_23_07
2025-06-01 00:00:00,18.33,94.2,-1.573,0,UCR,2025-06-01T06:00:00Z,18.33,94.2,17.629376726591993,2025-06-01T06:00:00Z,2025-06-01,0,2025-05-31,TRUE
2025-06-01 01:00:00,18.09,92.7,-1.229,0,UCR,2025-06-01T07:00:00Z,18.09,92.7,17.211152438774004,2025-06-01T07:00:00Z,2025-06-01,1,2025-05-31,TRUE
2025-06-01 02:00:00,18.09,91.8,-0.983,0,UCR,2025-06-01T08:00:00Z,18.09,91.8,17.10351695047191,2025-06-01T08:00:00Z,2025-06-01,2,2025-05-31,TRUE
2025-06-01 03:00:00,18.25,90.7,-0.948,0,UCR,2025-06-01T09:00:00Z,18.25,90.7,17.129895850431772,2025-06-01T09:00:00Z,2025-06-01,3,2025-05-31,TRUE
2025-06-01 04:00:00,18.41,89.4,-0.605,0,UCR,2025-06-01T10:00:00Z,18.41,89.4,17.13148885821096,2025-06-01T10:00:00Z,2025-06-01,4,2025-05-31,TRUE
2025-06-01 05:00:00,18.97,87.9,-0.02,0,UCR,2025-06-01T11:00:00Z,18.97,87.9,17.500078053856207,2025-06-01T11:00:00Z,2025-06-01,5,2025-05-31,TRUE
2025-06-01 06:00:00,19.65,81.5,19.96,0,UCR,2025-06-01T12:00:00Z,19.65,81.5,17.378248392350244,2025-06-01T12:00:00Z,2025-06-01,6,2025-05-31,TRUE
2025-06-01 07:00:00,20.5,79.39,114.6,0,UCR,2025-06-01T13:00:00Z,20.5,79.39,17.932636577491174,2025-06-01T13:00:00Z,2025-06-01,7,2025-05-31,TRUE
2025-06-01 23:00:00,18.77,94.5,-1.354,0,UCR,2025-06-02T05:00:00Z,18.77,94.5,18.103373827329442,2025-06-02T05:00:00Z,2025-06-01,23,2025-06-01,TRUE
2025-06-02 00:00:00,18.69,94.2,-1.7,0,UCR,2025-06-02T06:00:00Z,18.69,94.2,17.98742775408232,2025-06-02T06:00:00Z,2025-06-02,0,2025-06-01,TRUE
2025-06-02 01:00:00,18.85,93,-1.532,0,UCR,2025-06-02T07:00:00Z,18.85,93,18.00088365066345,2025-06-02T07:00:00Z,2025-06-02,1,2025-06-01,TRUE
2025-06-02 02:00:00,19.25,91.7,-1.38,0,UCR,2025-06-02T08:00:00Z,19.25,91.7,18.238725655156358,2025-06-02T08:00:00Z,2025-06-02,2,2025-06-01,TRUE
2025-06-02 03:00:00,20.22,87.8,-1.397,0,UCR,2025-06-02T09:00:00Z,20.22,87.8,18.712647211393513,2025-06-02T09:00:00Z,2025-06-02,3,2025-06-01,TRUE
2025-06-02 04:00:00,18.71,90.6,-2.417,0,UCR,2025-06-02T10:00:00Z,18.71,90.6,17.571651356214915,2025-06-02T10:00:00Z,2025-06-02,4,2025-06-01,TRUE
2025-06-02 05:00:00,19.54,88.5,-1.198,0,UCR,2025-06-02T11:00:00Z,19.54,88.5,18.13238580513757,2025-06-02T11:00:00Z,2025-06-02,5,2025-06-01,TRUE
2025-06-02 06:00:00,20.24,86.1,24.17,0,UCR,2025-06-02T12:00:00Z,20.24,86.1,18.520525618846563,2025-06-02T12:00:00Z,2025-06-02,6,2025-06-01,TRUE
2025-06-02 07:00:00,21.85,79.1,221.4,0,UCR,2025-06-02T13:00:00Z,21.85,79.1,19.188994964530156,2025-06-02T13:00:00Z,2025-06-02,7,2025-06-01,TRUE
2025-06-02 23:00:00,19.03,95.2,-0.638,0,UCR,2025-06-03T05:00:00Z,19.03,95.2,18.44744913535534,2025-06-03T05:00:00Z,2025-06-02,23,2025-06-02,TRUE
2025-06-03 00:00:00,18.97,95.1,-1.597,0,UCR,2025-06-03T06:00:00Z,18.97,95.1,18.375465498818823,2025-06-03T06:00:00Z,2025-06-03,0,2025-06-02,TRUE
2025-06-03 01:00:00,18.17,95.5,-1.638,0,UCR,2025-06-03T07:00:00Z,18.17,95.5,17.62620430329657,2025-06-03T07:00:00Z,2025-06-03,1,2025-06-02,TRUE
2025-06-03 02:00:00,17.73,96.5,-1.024,0,UCR,2025-06-03T08:00:00Z,17.73,96.5,17.306428961476254,2025-06-03T08:00:00Z,2025-06-03,2,2025-06-02,TRUE
2025-06-03 03:00:00,17.47,95.8,-1.4,0,UCR,2025-06-03T09:00:00Z,17.47,95.8,16.963533050372238,2025-06-03T09:00:00Z,2025-06-03,3,2025-06-02,TRUE
2025-06-03 04:00:00,17.37,94.1,-1.39,0,UCR,2025-06-03T10:00:00Z,17.37,94.1,16.662759917266158,2025-06-03T10:00:00Z,2025-06-03,4,2025-06-02,TRUE
