sleep_date,n_weather_records_night,weather_hours_night,first_weather_datetime_night,last_weather_datetime_night,n_temperature_records_night,temperature_mean_night,temperature_median_night,temperature_min_night,temperature_max_night,n_rh_records_night,rh_mean_night,rh_median_night,rh_min_night,rh_max_night,n_twb_records_night,twb_mean_night,twb_median_night,twb_min_night,twb_max_night,nocturnal_weather_qc
2025-05-31,8,"0, 1, 2, 3, 4, 5, 6, 7",2025-06-01T06:00:00Z,2025-06-01T13:00:00Z,8,18.78625,18.369999999999997,18.09,20.5,8,88.44875,90.05000000000001,79.39,94.2,8,17.377049231022283,17.294700415562126,17.10351695047191,17.932636577491174,sufficient
2025-06-01,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-02T05:00:00Z,2025-06-02T13:00:00Z,9,19.56888888888889,19.25,18.69,21.85,9,89.5,90.6,79.1,94.5,9,18.272957315928252,18.13238580513757,17.571651356214915,19.188994964530156,sufficient
2025-06-02,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-03T05:00:00Z,2025-06-03T13:00:00Z,9,18.226666666666667,18.09,17.29,19.92,9,93.15555555555555,95.1,83,96.5,9,17.39688251921081,17.306428961476254,16.465311531048574,18.44744913535534,sufficient
2025-06-03,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-04T05:00:00Z,2025-06-04T13:00:00Z,9,18.65222222222222,18.72,17.83,19.86,9,92.53333333333333,93.8,85.6,95.7,9,17.74572862304233,18.038371535609475,17.08687228634657,18.274611525030924,sufficient
2025-06-04,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-05T05:00:00Z,2025-06-05T13:00:00Z,9,18.88111111111111,18.9,18.47,19.47,9,96.33333333333333,96.9,94,97.3,9,18.436433821406883,18.50251709036906,18.142798956738453,18.738642507279597,sufficient
2025-06-05,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-06T05:00:00Z,2025-06-06T13:00:00Z,9,19.426666666666666,19.19,18.76,20.96,9,87.85555555555555,87.3,79.2,94.8,9,17.93498448769378,17.93695403015944,17.552502436892848,18.34939043857898,sufficient
2025-06-06,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-07T05:00:00Z,2025-06-07T13:00:00Z,9,19.965555555555557,20.05,19.26,20.39,9,88.23333333333333,87.9,85.9,90.7,9,18.515668152131898,18.632132243318317,18.004191032021662,18.78389471404842,sufficient
2025-06-07,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-08T05:00:00Z,2025-06-08T13:00:00Z,9,20.11777777777778,19.97,19.44,20.97,9,84.08888888888889,84.4,81,86.1,9,18.150195454886607,17.860431458033467,17.64918702490546,19.005191869996683,sufficient
2025-06-08,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-09T05:00:00Z,2025-06-09T13:00:00Z,9,19.433333333333334,19.43,18.68,20.62,9,88.87777777777778,88.3,84.1,92.6,9,18.071606712508764,18.056306336650437,17.529045515936808,18.640163500888992,sufficient
2025-06-09,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-10T05:00:00Z,2025-06-10T13:00:00Z,9,18.83,18.79,18.06,19.78,9,90.11111111111111,93.4,80.2,95,9,17.62755899348304,17.342803080705174,16.9742747707089,18.971069168023913,sufficient
2025-06-10,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-11T05:00:00Z,2025-06-11T13:00:00Z,9,18.86111111111111,18.7,18.25,19.61,9,82.44777777777779,82.2,78.7,85.9,9,16.730301294121873,16.76441386948812,16.351460645284686,17.096903896456148,sufficient
2025-06-11,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-12T05:00:00Z,2025-06-12T13:00:00Z,9,19.066666666666666,18.99,18.18,20.54,9,89.02222222222223,87.4,79.9,96.8,9,17.727842122583493,17.595957523813023,16.77369623239733,18.63707866838389,sufficient
2025-06-12,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-13T05:00:00Z,2025-06-13T13:00:00Z,9,18.75,18.65,18.45,19.17,9,96.58888888888889,96.8,93.7,97.6,9,18.33679847247043,18.178691224448702,18.07239251915029,18.880458599001255,sufficient
2025-06-13,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-14T05:00:00Z,2025-06-14T13:00:00Z,9,18.607777777777777,18.58,18.44,19,9,96.88888888888889,97.1,95,97.8,9,18.23089481071182,18.30138194035968,17.97788993826482,18.467505260711754,sufficient
2025-06-14,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-15T05:00:00Z,2025-06-15T13:00:00Z,9,19.15888888888889,19.11,18.54,20.43,9,92.88888888888889,93.7,86.4,96.9,9,18.289737798350654,18.283204978431996,18.031518436127577,18.743404782136892,sufficient
2025-06-15,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-16T05:00:00Z,2025-06-16T13:00:00Z,9,18.587777777777777,18.65,18.15,18.96,9,94.95555555555556,96.8,89.4,98,9,17.977303809562624,18.186612024735457,17.174837362232818,18.588431565588305,sufficient
2025-06-16,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-17T05:00:00Z,2025-06-17T13:00:00Z,9,18.59,18.43,18.11,19.6,9,91.83333333333333,93,83.3,95.9,9,17.597968643140618,17.55164478703848,17.210803311348727,17.929247323167257,sufficient
2025-06-17,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-18T05:00:00Z,2025-06-18T13:00:00Z,9,19.09888888888889,19.19,17.89,20.34,9,85.49,85.9,76.81,89,9,17.327682646274546,17.45570904044379,16.519167028864807,18.20026997167314,sufficient
2025-06-18,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-19T05:00:00Z,2025-06-19T13:00:00Z,9,19.953333333333333,19.64,19.19,21.28,9,83.99,85.1,79.41,87.4,9,17.974468016220847,17.969337133372825,17.59119922332744,18.682761118890497,sufficient
2025-06-19,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-20T05:00:00Z,2025-06-20T13:00:00Z,9,20.642222222222223,20.79,19.81,21.47,9,84.96666666666667,85,81.4,88.2,9,18.76867216618013,18.784752528059666,18.360333291164984,19.217764777015436,sufficient
2025-06-20,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-21T05:00:00Z,2025-06-21T13:00:00Z,9,19.933333333333334,19.73,19.04,21.47,9,87.13333333333333,88,81.1,90,9,18.343908608217397,18.208204361803293,17.811981581899282,19.081504261220914,sufficient
2025-06-21,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-22T05:00:00Z,2025-06-22T13:00:00Z,9,19.65,19.65,19.33,19.97,9,93.71111111111111,93.8,90.6,96,9,18.881444625594305,18.871522767914445,18.710278318863594,19.061874435064723,sufficient
2025-06-22,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-23T05:00:00Z,2025-06-23T13:00:00Z,9,18.362222222222222,18.35,18.1,18.89,9,97.24444444444444,97.4,95.7,97.6,9,18.02795313052819,18.034692364030857,17.796301535745304,18.36869713049479,sufficient
2025-06-23,9,"0, 1, 2, 3, 4, 5, 6, 7, 23",2025-06-24T05:00:00Z,2025-06-24T13:00:00Z,9,19.144444444444446,19.13,18.63,20.05,9,88.36666666666666,88.8,84.1,90.3,9,17.726409166314646,17.669065112874282,17.384087740648877,18.086886461013595,sufficient
